name,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,data_as_of
Mission Pit Stop - Julian Avenue & 15th Street,restroom,0,0,0,0,37.7665961,-122.4210799,publicly_accessible,,,,2024/10/10 10:39:51 AM
Louis Sutter Clubhouse,restroom,0,0,0,0,37.722389879019694,-122.41438687566156,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Palega Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.72928418,-122.40970258,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Tennis Center Bottle filling station,drinking_water,1,1,0,0,37.77022025,-122.45937144,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Parque Ninos Unidos - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.75439025,-122.41381918,limited_access,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.76084189,-122.4275699,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Drinking Fountain,drinking_water,1,0,0,0,37.74789866,-122.49752444,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Horseshoe Pits Restroom,restroom,0,0,0,0,37.77375254047893,-122.45599542644344,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Sunset Rec Center - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.75712691,-122.48691579,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Mothers Meadow Drinking fountain,drinking_water,1,1,0,0,37.76634787,-122.47663376,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.72220333,-122.41308386,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Lower Polk - Myrtle and Larkin streets (JCDecaux),restroom,0,0,0,0,37.7855716,-122.4180901,publicly_accessible,,,,2024/10/10 10:39:51 AM
Alta Plaza Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79118298,-122.43717434,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
